Time;Acceleration x-axis;Acceleration y-axis;Acceleration z-axis;Gravitation x-axis;Gravitation y-axis;Gravitation z-axis;Linear acceleration x-axis;Linear acceleration y-axis;Linear acceleration z-axis;Gyroscope x-axis;Gyroscope y-axis;Gyroscope z-axis;Orientation x-axis (in degrees);Orientation y-axis (in degrees);Orientation z-axis (in degrees)
50;0.1317;0.0311;9.8644;0.1415;0.0536;9.8055;-0.0098;-0.0225;0.0589;-0.0017;0.0011;0.0005;188.7;-0.31;-0.83
550;0.1437;0.0455;9.8644;0.1375;0.0508;9.8056;0.0014;0.009;0.0684;-0.0023;0.0011;0.0011;189.02;-0.29;-0.8
1051;0.1269;0.0479;9.8716;0.1385;0.0501;9.8055;-0.0116;-0.0023;0.0661;0.0002;0.0011;0.0005;191;-0.29;-0.81
1550;0.1365;0.0623;9.8788;0.1402;0.054;9.8055;0.0011;-0.0157;0.0661;0.0002;0.0011;0.0005;188.68;-0.32;-0.82
2051;0.1437;0.0623;9.8548;0.1386;0.0535;9.8055;0.0003;0.0088;0.0709;-0.0003;0.0018;-0.0002;188.67;-0.31;-0.81
2550;0.1461;0.0551;9.8764;0.1357;0.0549;9.8056;0.0104;0.0001;0.0708;-0.0003;0.0006;-0.0002;190.96;-0.32;-0.8
3050;0.1341;0.0623;9.8477;0.1376;0.0528;9.8055;-0.0035;0.0094;0.0421;0.0003;0.0018;0.0004;188.62;-0.31;-0.8
3550;0.1508;0.0503;9.85;0.1344;0.0525;9.8056;0.0069;-0.0094;0.0756;0.0003;0;0.001;188.6;-0.31;-0.79
4050;0.1341;0.0551;9.8524;0.1351;0.0536;9.8056;-0.001;0.0015;0.0469;0.0003;0;-0.0002;188.63;-0.31;-0.79
4551;0.1413;0.067;9.862;0.138;0.0533;9.8055;0.0128;0.0162;0.0493;0.0009;0;-0.0008;190.97;-0.31;-0.81
5050;0.1365;0.0551;9.8668;0.1395;0.0554;9.8055;0.0089;-0.0004;0.0541;-0.001;0;0.0004;190.99;-0.32;-0.82
5551;0.1245;0.0694;9.8548;0.1371;0.0549;9.8055;-0.0006;0.0002;0.0541;0.0003;0.0006;-0.0008;188.63;-0.32;-0.81
6050;0.1365;0.0527;9.8692;0.1392;0.055;9.8055;0.0164;0.0024;0.0661;-0.0002;-0.0002;0.0004;191.02;-0.32;-0.81
6550;0.1461;0.0599;9.8572;0.138;0.0555;9.8055;0.0032;-0.0004;0.0469;0.001;-0.0014;0.001;190.97;-0.32;-0.81
7051;0.1221;0.0479;9.874;0.1365;0.0539;9.8056;0.0095;0.0035;0.0613;-0.0002;-0.0008;0.0004;188.65;-0.32;-0.8
7550;0.1293;0.0479;9.8764;0.1376;0.0542;9.8055;0.0012;0.0032;0.0613;-0.0009;-0.0002;-0.0002;189.03;-0.32;-0.8
8050;0.1437;0.0599;9.8668;0.1371;0.0563;9.8055;0.009;-0.0084;0.0685;0.0004;0.0004;0.001;188.65;-0.33;-0.8
8550;0.1293;0.0527;9.862;0.1384;0.057;9.8055;0.0053;-0.0067;0.0757;-0.0002;-0.0014;0.001;189.02;-0.33;-0.82
9050;0.1341;0.0694;9.8548;0.1402;0.057;9.8055;0.0106;0.0029;0.0637;-0.0002;0.0004;-0.0002;188.31;-0.33;-0.82
9550;0.1461;0.0503;9.8644;0.139;0.0545;9.8055;-0.0002;0.0029;0.0781;0.001;-0.0008;-0.0002;191.01;-0.32;-0.81
10050;0.1413;0.0503;9.8596;0.1409;0.0549;9.8055;0.0123;0.0025;0.0709;0.0003;-0.0001;-0.0002;188.64;-0.32;-0.82
10550;0.1389;0.0646;9.8548;0.1399;0.0555;9.8055;-0.0106;0.0043;0.0589;0.0009;-0.0007;-0.0014;188.67;-0.32;-0.83
11050;0.1413;0.0599;9.8716;0.1414;0.0574;9.8055;-0.0001;0.0024;0.0661;0.0003;-0.0001;-0.0002;189.07;-0.33;-0.82
11551;0.1341;0.0694;9.85;0.1401;0.058;9.8055;0.006;0.0018;0.0613;-0.0003;-0.0013;-0.0002;188.69;-0.34;-0.82
12051;0.1437;0.0575;9.862;0.1398;0.0569;9.8055;0.0038;0.0006;0.0565;0.0009;0.0005;-0.0002;191.03;-0.33;-0.82
12550;0.1437;0.0455;9.8668;0.1411;0.055;9.8055;-0.0022;0.0048;0.0589;-0.0003;0.0005;-0.0002;191;-0.32;-0.82
13051;0.1461;0.0623;9.8644;0.1402;0.0553;9.8055;0.0058;0.0069;0.0589;0.0003;-0.0007;-0.0002;188.7;-0.32;-0.82
13550;0.1413;0.0646;9.8668;0.1409;0.0555;9.8055;-0.0212;0.002;0.0589;0.0003;-0.0001;0.0005;189.07;-0.33;-0.82
14050;0.1389;0.067;9.886;0.14;0.0553;9.8055;-0.0107;-0.0075;0.0565;0.0001;0.0007;-0.0014;189.03;-0.32;-0.82
14550;0.1341;0.0646;9.85;0.14;0.0566;9.8055;-0.0011;-0.0135;0.0493;0.0001;0.0007;-0.0001;191.02;-0.34;-0.81
15050;0.1365;0.0551;9.8644;0.139;0.0566;9.8055;0.007;0.0057;0.0589;-0.0011;0;-0.0008;191.49;-0.33;-0.81
15551;0.1317;0.0646;9.874;0.1382;0.0558;9.8055;-0.0041;-0.0127;0.0589;0.0007;-0.0006;0.0005;188.63;-0.33;-0.81
16050;0.1461;0.0694;9.8524;0.1392;0.0573;9.8055;0.0092;0.0049;0.0685;0.0001;0;-0.0001;189.03;-0.33;-0.82
16550;0.1508;0.0431;9.8668;0.139;0.0564;9.8055;-0.0145;0.0106;0.0613;-0.0005;-0.0018;-0.0001;191.02;-0.34;-0.81
17051;0.1461;0.0431;9.8644;0.142;0.057;9.8055;0.0041;-0.0163;0.0733;0.0007;0.0007;0.0011;191.46;-0.34;-0.81
17550;0.1293;0.067;9.8716;0.1377;0.0556;9.8055;-0.0132;0.0067;0.0445;0.0001;-0.0006;-0.0001;188.63;-0.32;-0.8
18050;0.1221;0.0575;9.8572;0.1392;0.056;9.8055;0.0044;0.0086;0.0733;0.0012;0.0001;-0.0002;191;-0.33;-0.82
18550;0.1341;0.0575;9.8692;0.1384;0.0556;9.8055;0.0029;-0.0053;0.0517;0.0012;-0.0005;0.0005;188.63;-0.32;-0.81
19050;0.1413;0.0575;9.8764;0.1414;0.0569;9.8055;-0.0001;0.0006;0.0709;0.0006;-0.0017;0.0011;191.03;-0.34;-0.84
19550;0.1341;0.0551;9.8716;0.1392;0.0555;9.8055;0.0188;0.0163;0.0757;-0.0006;0.0007;-0.0002;188.6;-0.32;-0.81
20050;0.1197;0.0359;9.8836;0.1407;0.0569;9.8055;0.0126;0.0029;0.0518;0;0.0007;0.0005;188.65;-0.33;-0.82
20551;0.1389;0.0599;9.874;0.1402;0.0537;9.8055;0.0178;0.0037;0.0613;-0.0012;0.0001;-0.0002;188.72;-0.31;-0.82
21050;0.1389;0.0479;9.8812;0.1398;0.0567;9.8055;-0.0009;0.0103;0.0661;-0.0012;-0.0005;0.0005;186.31;-0.33;-0.82
21550;0.1317;0.0479;9.8716;0.1414;0.0565;9.8055;-0.0025;-0.0015;0.0781;0.0006;-0.0017;-0.0002;188.7;-0.33;-0.83
22050;0.1197;0.0551;9.8764;0.1391;0.0552;9.8055;-0.017;-0.0049;0.0852;-0.0007;0.0003;0.0005;188.68;-0.33;-0.81
22550;0.1437;0.0623;9.8812;0.1379;0.0526;9.8055;0.0106;-0.0166;0.0804;-0.0013;0.0009;-0.0001;190.95;-0.32;-0.8
23050;0.1365;0.0551;9.8692;0.1387;0.0533;9.8055;-0.0022;0.0018;0.0637;-0.0001;-0.001;0.0005;191.01;-0.31;-0.81
23551;0.1484;0.0623;9.8812;0.1379;0.0547;9.8055;0.001;0.0028;0.0804;0.0005;-0.001;-0.0008;188.66;-0.31;-0.8
