ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);;Time since start in ms ;;;;;;;;;;;;;;;;;;Verschil tussen twee meetpunten;;;;;;;;;;;;;;;;;;;
0,1317;0,0311;9,8644;0,1415;0,0536;9,8055;-0,0098;-0,0225;0,0589;-0,0017;0,0011;5,00E-04;188,7;-0,31;-0,83;;50;;;;;;;;;;;;;;;;;;ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);;;;;
0,1437;0,0455;9,8644;0,1375;0,0508;9,8056;0,0014;0,009;0,0684;-0,0023;0,0011;0,0011;189,02;-0,29;-0,8;;550;;;;;;;;;;;;;;;;;;0,012;0,0144;0;-0,004;-0,0028;1,00E-04;0,0112;0,0315;0,0095;-0,0006;0;0,0006;0,32;0,02;0,03;;;;;
0,1269;0,0479;9,8716;0,1385;0,0501;9,8055;-0,0116;-0,0023;0,0661;2,00E-04;0,0011;5,00E-04;191;-0,29;-0,81;;1051;;;ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);;;;;;;;;;;;;-0,0168;0,0024;0,0072;0,001;-0,0007;-1,00E-04;-0,013;-0,0113;-0,0023;0,0025;0;-0,0006;1,98;0;-0,01;;;ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²)
0,1365;0,0623;9,8788;0,1402;0,054;9,8055;0,0011;-0,0157;0,0661;2,00E-04;0,0011;5,00E-04;188,68;-0,32;-0,82;;1550;;;-0,0223;-0,0225;0,0275;;;;;;;;;;;;;0,0096;0,0144;0,0072;0,0017;0,0039;0;0,0127;-0,0134;0;0;0;0;-2,32;-0,03;-0,01;;;-0,0335;-0,0383;-0,0527
0,1437;0,0623;9,8548;0,1386;0,0535;9,8055;3,00E-04;0,0088;0,0709;-3,00E-04;0,0018;-2,00E-04;188,67;-0,31;-0,81;;2051;;;0,001125;0,0018;0,0589;;;;;;;;;;;;;0,0072;0;-0,024;-0,0016;-0,0005;0;-0,0008;0,0245;0,0048;-0,0005;0,0007;-0,0007;-0,01;0,01;0,01;;;-0,007775;-0,0095;-0,012575
0,1461;0,0551;9,8764;0,1357;0,0549;9,8056;0,0104;1,00E-04;0,0708;-3,00E-04;6,00E-04;-2,00E-04;190,96;-0,32;-0,8;;2550;;;0,0621;0,0171;4,95205;;;;;;;;;;;;;0,0024;-0,0072;0,0216;-0,0029;0,0014;1,00E-04;0,0101;-0,0087;-0,0001;0;-0,0012;0;2,29;-0,01;0,01;;;0;0;0,00115
0,1341;0,0623;9,8477;0,1376;0,0528;9,8055;-0,0035;0,0094;0,0421;3,00E-04;0,0018;4,00E-04;188,62;-0,31;-0,8;;3050;;;0,1293;0,0479;9,862;;;;;;;;;;;;;-0,012;0,0072;-0,0287;0,0019;-0,0021;-1,00E-04;-0,0139;0,0093;-0,0287;0,0006;0,0012;0,0006;-2,34;0,01;0;;;0,0072;0,0072;0,012575
0,1508;0,0503;9,85;0,1344;0,0525;9,8056;0,0069;-0,0094;0,0756;3,00E-04;0;0,001;188,6;-0,31;-0,79;;3550;;;0,1532;0,0694;9,8884;;;;;;;;;;;;;0,0167;-0,012;0,0023;-0,0032;-0,0003;1,00E-04;0,0104;-0,0188;0,0335;0;-0,0018;0,0006;-0,02;0;0,01;;;0,0383;0,0455;0,0503
0,1341;0,0551;9,8524;0,1351;0,0536;9,8056;-0,001;0,0015;0,0469;3,00E-04;0;-2,00E-04;188,63;-0,31;-0,79;;4050;;;;;;;;;;;;;;;;;;-0,0167;0,0048;0,0024;0,0007;0,0011;0;-0,0079;0,0109;-0,0287;0;0;-0,0012;0,03;0;0;;;;;
0,1413;0,067;9,862;0,138;0,0533;9,8055;0,0128;0,0162;0,0493;9,00E-04;0;-8,00E-04;190,97;-0,31;-0,81;;4551;;;VERSCHIL;;;;;;;;;;;;;;;0,0072;0,0119;0,0096;0,0029;-0,0003;-1,00E-04;0,0138;0,0147;0,0024;0,0006;0;-0,0006;2,34;0;-0,02;;;GROOTSTE VERSCHIL;;
